S.No.,SPH Location,NPH Mapping
1,JODHPUR,JAIPUR
2,THRISSUR,KOCHI
3,KANPUR,LUCKNOW
4,KOTTAYAM,KOCHI
5,VARANASI,ALLAHABAD
6,PALAKKAD,COIMBATORE
7,JABALPUR,BHOPAL
8,AMRITSAR,JALANDHAR
9,NASHIK,MUMBAI
10,MORADABAD,GHAZIABAD
11,SOLAPUR,PUNE
12,KOLLAM,TRIVANDRUM
13,MUZAFFARPUR,PATNA
14,KOTA,JAIPUR
15,GWALIOR,AGRA
16,BILASPUR (CHHATTISGARH),RAIPUR
17,ALIGARH,AGRA
18,AHMEDNAGAR,PUNE
19,SALEM,CHENNAI
20,AJMER,JAIPUR
21,GUNTUR,VIJAYAWADA
22,BATHINDA,LUDHIANA
23,CUTTACK,BHUBANESWAR
24,PANVEL,MUMBAI
25,BIKANER,JAIPUR
26,SIKAR,JAIPUR
27,HOWRAH,KOLKATA
28,RAJKOT,AHMEDABAD
29,UDAIPUR,JAIPUR
30,SEALDAH,KOLKATA
31,TIRUVALLA,KOCHI
32,MEERUT,GHAZIABAD
33,PATIALA,CHANDIGARH
34,SRI GANGANAGAR,JAIPUR
35,RAJAMUNDRY,VIJAYAWADA
36,THODUPUZHA,KOCHI
37,HARIDWAR,DEHRADUN
38,BELGAUM,HUBLI
39,BAREILLY,GHAZIABAD
40,TIRUPATHI,CHENNAI
41,MANDI,AMBALA
42,HISAR,GURGAON
43,GORAKHPUR,LUCKNOW
44,GULBARGA,HYDERABAD
45,ELURU,VIJAYAWADA
46,TEZPUR,GUWAHATI
47,BERHAMPUR,BHUBANESWAR
48,FALNA,AHMEDABAD
49,ROHTAK,GURGAON
50,SAMBALPUR,BHUBANESWAR
51,VILLUPURAM,CHENNAI
52,ONGOLE,VIJAYAWADA
53,SILCHAR,GUWAHATI
54,ALWAR,JAIPUR
55,BALASORE,BHUBANESWAR
56,WARANGAL,HYDERABAD
57,BHARATPUR,AGRA
58,SATNA,ALLAHABAD
59,SAHARANPUR,GHAZIABAD
60,KURNOOL,HYDERABAD
61,BARAUNI,PATNA
62,JOLARPETTAI,BANGALORE
63,ANANTHAPUR,BANGALORE
64,BIRUR,BANGALORE
65,DURG,RAIPUR
66,TINSUKIA,GUWAHATI
67,MIRAJ,PANAJI
68,SATARA,PUNE
69,KHARAGPUR,KOLKATA
70,JORHAT,GUWAHATI
71,KARNAL,AMBALA
72,CUDDAPAH,CHENNAI
73,KARIMNAGAR,HYDERABAD
74,KIUL,PATNA
75,GAYA,PATNA
76,JEYPORE,VISAKHAPATNAM
77,MAU,ALLAHABAD
78,KANNUR,MANGALORE
79,CHAPRA,PATNA
80,SHILLONG,GUWAHATI
81,CHANDRAPUR,NAGPUR
82,KHERI,LUCKNOW
83,JAJPUR,BHUBANESWAR
84,BALANGIR,BHUBANESWAR
85,SRIKAKULAM,VISAKHAPATNAM
86,RATLAM,INDORE
87,DHANBAD,RANCHI
88,NELLORE,CHENNAI
89,NALGONDA,HYDERABAD
90,HAMIRPUR,SHIMLA
91,VALSAD,SURAT
92,ITARSI,BHOPAL
93,JUNAGADH,SURAT
94,TUMKUR,BANGALORE
95,DAVANAGERE,BANGALORE
96,BHAGALPUR,PATNA
97,MEHASANA,AHMEDABAD
98,BURDWAN,KOLKATA
99,AKOLA,NAGPUR
100,HOSPET,BANGALORE
101,RATNAGIRI,PANAJI
102,MALDA,SILIGURI
103,HOSHIARPUR,JALANDHAR
104,AMRAVATI,NAGPUR
105,ERODE,COIMBATORE
106,TIRUNELVELI,MADURAI
107,NANDED,AURANGABAD
108,JAMNAGAR,AHMEDABAD
109,RUDRAPUR,GHAZIABAD
110,BHUJ,AHMEDABAD
111,BERHAMPORE(WB),KOLKATA
112,PORT BLAIR,KOLKATA
113,NAGARCOIL,MADURAI
114,RAICHUR,HYDERABAD
115,BHAVNAGAR,SURAT
116,BAGALKOT,HUBLI
117,THANJAVUR,MADURAI
118,ANAND,VADODARA
119,TIRUPUR,COIMBATORE
120,HASSAN,BANGALORE
121,BHARUCH,SURAT
122,JALGAON,AURANGABAD
123,ITANAGAR,GUWAHATI
124,KATNI,BHOPAL
125,ASANSOL,KOLKATA
126,TUTICORIN,MADURAI
127,VRIDDHACHALAM,CHENNAI
128,VELLORE,CHENNAI
129,SONEPAT,DELHI
130,MAYILADUTURAI,CHENNAI
131,DINDIGUL,MADURAI
132,KARAIKUDI,MADURAI
133,DHARMAPURI,BANGALORE












































































































































































































































